YYYYMM,dry,normal,monsoon
198206,29,1,0
198207,11,11,9
198208,0,8,23
198209,2,20,8
198210,29,2,0
198306,28,2,0
198307,8,9,14
198308,0,4,27
198309,0,15,15
198310,11,16,4
198406,16,13,1
198407,0,6,25
198408,0,4,27
198409,2,16,12
198410,22,9,0
198506,29,1,0
198507,6,12,13
198508,4,23,4
198509,7,20,3
198510,14,17,0
198606,19,11,0
198607,5,18,8
198608,1,14,16
198609,14,16,0
198610,22,9,0
198706,22,6,2
198707,14,9,8
198708,5,11,15
198709,15,15,0
198710,20,8,3
198806,17,2,11
198807,1,25,5
198808,0,14,17
198809,16,13,1
198810,15,16,0
198906,30,0,0
198907,10,13,8
198908,7,16,8
198909,16,14,0
198910,25,6,0
199006,25,3,2
199007,3,13,15
199008,4,20,7
199009,1,18,11
199010,24,6,1
199106,24,6,0
199107,1,26,4
199108,1,18,12
199109,5,18,7
199110,29,2,0
199206,23,7,0
199207,5,17,9
199208,3,10,18
199209,16,11,3
199210,21,9,1
199306,30,0,0
199307,10,21,0
199308,1,16,14
199309,18,10,2
199310,22,9,0
199406,25,5,0
199407,17,14,0
199408,0,21,10
199409,12,15,3
199410,29,2,0
199506,27,3,0
199507,19,12,0
199508,6,10,15
199509,8,12,10
199510,31,0,0
199606,23,7,0
199607,6,19,6
199608,4,19,8
199609,9,15,6
199610,27,4,0
199706,23,7,0
199707,18,8,5
199708,0,13,18
199709,0,9,21
199710,21,8,2
199806,30,0,0
199807,6,12,13
199808,0,28,3
199809,10,11,9
199810,22,9,0
199906,16,14,0
199907,0,16,15
199908,1,21,9
199909,8,18,4
199910,31,0,0
200006,17,13,0
200007,19,10,2
200008,1,21,9
200009,21,9,0
200010,16,15,0
200106,24,6,0
200107,3,21,7
200108,5,11,15
200109,16,10,4
200110,23,8,0
200206,30,0,0
200207,6,20,5
200208,13,18,0
200209,13,9,8
200210,26,5,0
200306,30,0,0
200307,16,8,7
200308,0,12,19
200309,17,4,9
200310,22,9,0
200406,28,2,0
200407,11,8,12
200408,9,14,8
200409,10,18,2
200410,22,9,0
200506,27,3,0
200507,15,8,8
200508,3,6,22
200509,13,17,0
200510,17,14,0
200606,24,6,0
200607,0,14,17
200608,0,11,20
200609,13,9,8
200610,18,13,0
200706,29,1,0
200707,6,15,10
200708,0,13,18
200709,7,17,6
200710,26,5,0
200806,29,1,0
200807,0,18,13
200808,0,21,10
200809,10,18,2
200810,29,2,0
200906,20,9,1
200907,5,18,8
200908,14,14,3
200909,9,17,4
200910,25,6,0
201006,29,1,0
201007,4,16,11
201008,1,15,15
201009,16,14,0
201010,19,12,0
201106,30,0,0
201107,5,15,11
201108,3,20,8
201109,14,10,6
201110,26,4,1
201206,28,2,0
201207,2,18,11
201208,0,16,15
201209,14,10,6
201210,30,1,0
201306,30,0,0
201307,0,16,15
201308,2,18,11
201309,7,6,17
201310,30,1,0
201406,30,0,0
201407,2,19,10
201408,3,17,11
201409,4,10,16
201410,19,12,0
201506,13,15,2
201507,0,24,7
201508,1,17,13
201509,0,26,4
201510,7,21,3
201606,17,13,0
201607,12,18,1
201608,0,25,6
201609,9,17,4
201610,20,10,1
201706,27,3,0
201707,5,4,22
201708,0,19,12
201709,6,19,5
201710,27,4,0
201806,26,3,1
201807,4,8,19
201808,1,16,14
201809,7,23,0
201810,12,16,3
